structName,structType,K,N,Dim,avgRuntime
Bucket,0,10,10000,1,29
Bucket,0,20,10000,1,57
Bucket,0,30,10000,1,88
Bucket,0,40,10000,1,119
Bucket,0,50,10000,1,151
Bucket,0,60,10000,1,187
Bucket,0,70,10000,1,223
Bucket,0,80,10000,1,260
Bucket,0,90,10000,1,300
Bucket,0,100,10000,1,339
Bucket,0,10,20000,1,49
Bucket,0,20,20000,1,109
Bucket,0,30,20000,1,166
Bucket,0,40,20000,1,222
Bucket,0,50,20000,1,285
Bucket,0,60,20000,1,352
Bucket,0,70,20000,1,413
Bucket,0,80,20000,1,480
Bucket,0,90,20000,1,556
Bucket,0,100,20000,1,638
Bucket,0,10,30000,1,87
Bucket,0,20,30000,1,161
Bucket,0,30,30000,1,235
Bucket,0,40,30000,1,310
Bucket,0,50,30000,1,389
Bucket,0,60,30000,1,471
Bucket,0,70,30000,1,554
Bucket,0,80,30000,1,641
Bucket,0,90,30000,1,723
Bucket,0,100,30000,1,808
Bucket,0,10,40000,1,93
Bucket,0,20,40000,1,214
Bucket,0,30,40000,1,310
Bucket,0,40,40000,1,407
Bucket,0,50,40000,1,507
Bucket,0,60,40000,1,607
Bucket,0,70,40000,1,707
Bucket,0,80,40000,1,810
Bucket,0,90,40000,1,911
Bucket,0,100,40000,1,1013
Bucket,0,10,50000,1,106
Bucket,0,20,50000,1,217
Bucket,0,30,50000,1,330
Bucket,0,40,50000,1,465
Bucket,0,50,50000,1,588
Bucket,0,60,50000,1,714
Bucket,0,70,50000,1,840
Bucket,0,80,50000,1,967
Bucket,0,90,50000,1,1096
Bucket,0,100,50000,1,1228
Bucket,0,10,60000,1,135
Bucket,0,20,60000,1,283
Bucket,0,30,60000,1,438
Bucket,0,40,60000,1,597
Bucket,0,50,60000,1,754
Bucket,0,60,60000,1,912
Bucket,0,70,60000,1,1072
Bucket,0,80,60000,1,1238
Bucket,0,90,60000,1,1406
Bucket,0,100,60000,1,1569
Bucket,0,10,70000,1,176
Bucket,0,20,70000,1,341
Bucket,0,30,70000,1,513
Bucket,0,40,70000,1,691
Bucket,0,50,70000,1,866
Bucket,0,60,70000,1,1041
Bucket,0,70,70000,1,1215
Bucket,0,80,70000,1,3505
Bucket,0,90,70000,1,3675
Bucket,0,100,70000,1,3846
Bucket,0,10,80000,1,173
Bucket,0,20,80000,1,352
Bucket,0,30,80000,1,533
Bucket,0,40,80000,1,718
Bucket,0,50,80000,1,900
Bucket,0,60,80000,1,1088
Bucket,0,70,80000,1,1279
Bucket,0,80,80000,1,1471
Bucket,0,90,80000,1,1665
Bucket,0,100,80000,1,1867
Bucket,0,10,90000,1,186
Bucket,0,20,90000,1,387
Bucket,0,30,90000,1,591
Bucket,0,40,90000,1,801
Bucket,0,50,90000,1,1013
Bucket,0,60,90000,1,1228
Bucket,0,70,90000,1,1441
Bucket,0,80,90000,1,1654
Bucket,0,90,90000,1,1869
Bucket,0,100,90000,1,2088
Bucket,0,10,100000,1,218
Bucket,0,20,100000,1,458
Bucket,0,30,100000,1,681
Bucket,0,40,100000,1,897
Bucket,0,50,100000,1,1114
Bucket,0,60,100000,1,1333
Bucket,0,70,100000,1,1562
Bucket,0,80,100000,1,1796
Bucket,0,90,100000,1,2024
Bucket,0,100,100000,1,2249
Bucket,0,10,110000,1,213
Bucket,0,20,110000,1,432
Bucket,0,30,110000,1,680
Bucket,0,40,110000,1,903
Bucket,0,50,110000,1,1132
Bucket,0,60,110000,1,1382
Bucket,0,70,110000,1,1660
Bucket,0,80,110000,1,1923
Bucket,0,90,110000,1,2190
Bucket,0,100,110000,1,2440
Bucket,0,10,120000,1,251
Bucket,0,20,120000,1,504
Bucket,0,30,120000,1,768
Bucket,0,40,120000,1,1046
Bucket,0,50,120000,1,1332
Bucket,0,60,120000,1,1593
Bucket,0,70,120000,1,1854
Bucket,0,80,120000,1,2118
