structName,structType,K,N,Dim,avgRuntime
KD,2,10,10000,1,955
KD,2,20,10000,1,1983
KD,2,30,10000,1,3001
KD,2,40,10000,1,4067
KD,2,50,10000,1,5258
KD,2,60,10000,1,6360
KD,2,70,10000,1,7490
KD,2,80,10000,1,8654
KD,2,90,10000,1,9840
KD,2,100,10000,1,11065
KD,2,10,20000,1,1388
KD,2,20,20000,1,2964
KD,2,30,20000,1,4519
KD,2,40,20000,1,6236
KD,2,50,20000,1,7948
KD,2,60,20000,1,9690
KD,2,70,20000,1,11423
KD,2,80,20000,1,13248
KD,2,90,20000,1,15243
KD,2,100,20000,1,17251
KD,2,10,30000,1,2025
KD,2,20,30000,1,4368
KD,2,30,30000,1,6685
KD,2,40,30000,1,9120
KD,2,50,30000,1,11552
KD,2,60,30000,1,14085
KD,2,70,30000,1,16684
KD,2,80,30000,1,19369
KD,2,90,30000,1,22147
KD,2,100,30000,1,25041
KD,2,10,40000,1,2240
KD,2,20,40000,1,5025
KD,2,30,40000,1,7726
KD,2,40,40000,1,10619
KD,2,50,40000,1,13762
KD,2,60,40000,1,16895
KD,2,70,40000,1,20020
KD,2,80,40000,1,23217
KD,2,90,40000,1,26511
KD,2,100,40000,1,29942
KD,2,10,50000,1,4555
KD,2,20,50000,1,9924
KD,2,30,50000,1,15403
KD,2,40,50000,1,21525
KD,2,50,50000,1,27569
KD,2,60,50000,1,33413
KD,2,70,50000,1,39496
KD,2,80,50000,1,45946
KD,2,90,50000,1,52520
KD,2,100,50000,1,59305
KD,2,10,60000,1,3831
KD,2,20,60000,1,8469
KD,2,30,60000,1,13091
KD,2,40,60000,1,18308
KD,2,50,60000,1,23647
KD,2,60,60000,1,28728
KD,2,70,60000,1,33994
KD,2,80,60000,1,39447
KD,2,90,60000,1,45113
KD,2,100,60000,1,51016
KD,2,10,70000,1,4140
KD,2,20,70000,1,9655
KD,2,30,70000,1,14945
KD,2,40,70000,1,20567
KD,2,50,70000,1,26263
KD,2,60,70000,1,32105
KD,2,70,70000,1,38134
KD,2,80,70000,1,44342
KD,2,90,70000,1,50736
KD,2,100,70000,1,57400
KD,2,10,80000,1,4775
KD,2,20,80000,1,10934
KD,2,30,80000,1,17029
KD,2,40,80000,1,23586
KD,2,50,80000,1,30194
KD,2,60,80000,1,36825
KD,2,70,80000,1,43744
KD,2,80,80000,1,51043
KD,2,90,80000,1,58653
KD,2,100,80000,1,66403
KD,2,10,90000,1,3681
KD,2,20,90000,1,8422
KD,2,30,90000,1,13031
KD,2,40,90000,1,17908
KD,2,50,90000,1,23216
KD,2,60,90000,1,28352
KD,2,70,90000,1,33553
KD,2,80,90000,1,38889
KD,2,90,90000,1,44424
KD,2,100,90000,1,50137
KD,2,10,100000,1,5711
KD,2,20,100000,1,13050
KD,2,30,100000,1,20236
KD,2,40,100000,1,27985
KD,2,50,100000,1,36065
KD,2,60,100000,1,44037
KD,2,70,100000,1,52250
KD,2,80,100000,1,60937
KD,2,90,100000,1,69786
KD,2,100,100000,1,78949
KD,2,10,110000,1,7172
KD,2,20,110000,1,16512
KD,2,30,110000,1,25815
KD,2,40,110000,1,35787
KD,2,50,110000,1,45949
KD,2,60,110000,1,56096
KD,2,70,110000,1,66620
KD,2,80,110000,1,77691
KD,2,90,110000,1,89178
KD,2,100,110000,1,100874
KD,2,10,120000,1,6874
KD,2,20,120000,1,15990
KD,2,30,120000,1,24919
KD,2,40,120000,1,34581
KD,2,50,120000,1,44288
KD,2,60,120000,1,54202
KD,2,70,120000,1,64380
KD,2,80,120000,1,75127
KD,2,90,120000,1,85947
KD,2,100,120000,1,97219
KD,2,10,130000,1,7672
KD,2,20,130000,1,18118
KD,2,30,130000,1,28708
KD,2,40,130000,1,39861
KD,2,50,130000,1,51158
KD,2,60,130000,1,62547
KD,2,70,130000,1,74369
KD,2,80,130000,1,86586
KD,2,90,130000,1,99390
KD,2,100,130000,1,112412
KD,2,10,140000,1,11736
KD,2,20,140000,1,27571
KD,2,30,140000,1,43170
KD,2,40,140000,1,60085
KD,2,50,140000,1,76941
KD,2,60,140000,1,93804
KD,2,70,140000,1,111294
KD,2,80,140000,1,129505
KD,2,90,140000,1,148392
KD,2,100,140000,1,169081
KD,2,10,150000,1,10153
KD,2,20,150000,1,24324
KD,2,30,150000,1,37996
KD,2,40,150000,1,51703
KD,2,50,150000,1,66790
KD,2,60,150000,1,82194
KD,2,70,150000,1,99226
KD,2,80,150000,1,115673
KD,2,90,150000,1,135571
KD,2,100,150000,1,153667
KD,2,10,160000,1,12256
KD,2,20,160000,1,29053
KD,2,30,160000,1,45285
KD,2,40,160000,1,63292
KD,2,50,160000,1,81747
KD,2,60,160000,1,98854
KD,2,70,160000,1,116887
KD,2,80,160000,1,136346
KD,2,90,160000,1,155432
KD,2,100,160000,1,176133
KD,2,10,170000,1,10676
KD,2,20,170000,1,24452
KD,2,30,170000,1,38329
KD,2,40,170000,1,52682
KD,2,50,170000,1,66768
KD,2,60,170000,1,80992
KD,2,70,170000,1,96009
KD,2,80,170000,1,112026
KD,2,90,170000,1,128731
KD,2,100,170000,1,145845
KD,2,10,180000,1,8648
KD,2,20,180000,1,20783
KD,2,30,180000,1,32687
KD,2,40,180000,1,45420
KD,2,50,180000,1,58256
KD,2,60,180000,1,71296
KD,2,70,180000,1,85653
KD,2,80,180000,1,99576
KD,2,90,180000,1,113695
KD,2,100,180000,1,128246
KD,2,10,190000,1,11166
KD,2,20,190000,1,26878
KD,2,30,190000,1,41924
KD,2,40,190000,1,58332
KD,2,50,190000,1,75118
KD,2,60,190000,1,91810
KD,2,70,190000,1,108975
KD,2,80,190000,1,126772
KD,2,90,190000,1,145052
KD,2,100,190000,1,164034
KD,2,10,200000,1,12225
KD,2,20,200000,1,29723
KD,2,30,200000,1,46730
KD,2,40,200000,1,64840
KD,2,50,200000,1,83459
KD,2,60,200000,1,101990
KD,2,70,200000,1,120994
KD,2,80,200000,1,140848
KD,2,90,200000,1,161310
KD,2,100,200000,1,182406
KD,2,10,10000,2,174
KD,2,20,10000,2,432
KD,2,30,10000,2,757
KD,2,40,10000,2,1156
KD,2,50,10000,2,1602
KD,2,60,10000,2,2082
KD,2,70,10000,2,2591
KD,2,80,10000,2,3123
KD,2,90,10000,2,3684
KD,2,100,10000,2,4316
KD,2,10,20000,2,143
KD,2,20,20000,2,368
KD,2,30,20000,2,648
KD,2,40,20000,2,982
KD,2,50,20000,2,1365
KD,2,60,20000,2,1780
KD,2,70,20000,2,2234
KD,2,80,20000,2,2732
KD,2,90,20000,2,3265
KD,2,100,20000,2,3802
KD,2,10,30000,2,313
KD,2,20,30000,2,805
KD,2,30,30000,2,1435
KD,2,40,30000,2,2195
KD,2,50,30000,2,3012
KD,2,60,30000,2,3891
KD,2,70,30000,2,4886
KD,2,80,30000,2,6044
KD,2,90,30000,2,7225
KD,2,100,30000,2,8508
KD,2,10,40000,2,253
KD,2,20,40000,2,656
KD,2,30,40000,2,1169
KD,2,40,40000,2,1785
KD,2,50,40000,2,2465
KD,2,60,40000,2,3172
KD,2,70,40000,2,3985
KD,2,80,40000,2,4875
KD,2,90,40000,2,5814
KD,2,100,40000,2,6774
KD,2,10,50000,2,317
KD,2,20,50000,2,811
KD,2,30,50000,2,1435
KD,2,40,50000,2,2208
KD,2,50,50000,2,3050
KD,2,60,50000,2,3964
KD,2,70,50000,2,4952
KD,2,80,50000,2,6027
KD,2,90,50000,2,7199
KD,2,100,50000,2,8432
KD,2,10,60000,2,363
KD,2,20,60000,2,918
KD,2,30,60000,2,1587
KD,2,40,60000,2,2407
KD,2,50,60000,2,3331
KD,2,60,60000,2,4338
KD,2,70,60000,2,5468
KD,2,80,60000,2,6788
KD,2,90,60000,2,8124
KD,2,100,60000,2,9536
KD,2,10,70000,2,405
KD,2,20,70000,2,1038
KD,2,30,70000,2,1874
KD,2,40,70000,2,2855
KD,2,50,70000,2,3928
KD,2,60,70000,2,5106
KD,2,70,70000,2,6401
KD,2,80,70000,2,7839
KD,2,90,70000,2,9386
KD,2,100,70000,2,11022
KD,2,10,80000,2,455
KD,2,20,80000,2,1139
KD,2,30,80000,2,2016
KD,2,40,80000,2,3067
KD,2,50,80000,2,4248
KD,2,60,80000,2,5520
