structName,structType,K,N,Dim,avgRuntime
Quad,1,10,10000,2,330
Quad,1,20,10000,2,743
Quad,1,30,10000,2,1160
Quad,1,40,10000,2,1638
Quad,1,50,10000,2,2139
Quad,1,60,10000,2,2703
Quad,1,70,10000,2,3270
Quad,1,80,10000,2,3876
Quad,1,90,10000,2,4524
Quad,1,100,10000,2,5210
Quad,1,10,20000,2,542
Quad,1,20,20000,2,1198
Quad,1,30,20000,2,1896
Quad,1,40,20000,2,2677
Quad,1,50,20000,2,3479
Quad,1,60,20000,2,4315
Quad,1,70,20000,2,5189
Quad,1,80,20000,2,6136
Quad,1,90,20000,2,7119
Quad,1,100,20000,2,8130
Quad,1,10,30000,2,778
Quad,1,20,30000,2,1650
Quad,1,30,30000,2,2602
Quad,1,40,30000,2,3627
Quad,1,50,30000,2,4726
Quad,1,60,30000,2,5866
Quad,1,70,30000,2,7040
Quad,1,80,30000,2,8272
Quad,1,90,30000,2,9597
Quad,1,100,30000,2,10937
Quad,1,10,40000,2,1056
Quad,1,20,40000,2,2236
Quad,1,30,40000,2,3499
Quad,1,40,40000,2,4890
Quad,1,50,40000,2,6341
Quad,1,60,40000,2,7836
Quad,1,70,40000,2,9411
Quad,1,80,40000,2,11087
Quad,1,90,40000,2,12802
Quad,1,100,40000,2,14593
Quad,1,10,50000,2,1278
Quad,1,20,50000,2,2747
Quad,1,30,50000,2,4256
Quad,1,40,50000,2,5900
Quad,1,50,50000,2,7600
Quad,1,60,50000,2,9392
Quad,1,70,50000,2,11279
Quad,1,80,50000,2,13277
Quad,1,90,50000,2,15348
Quad,1,100,50000,2,17531
Quad,1,10,60000,2,1499
Quad,1,20,60000,2,3173
Quad,1,30,60000,2,4932
Quad,1,40,60000,2,6774
Quad,1,50,60000,2,8797
Quad,1,60,60000,2,10880
Quad,1,70,60000,2,12996
Quad,1,80,60000,2,15157
Quad,1,90,60000,2,17420
Quad,1,100,60000,2,19703
Quad,1,10,70000,2,1786
Quad,1,20,70000,2,3782
Quad,1,30,70000,2,6008
Quad,1,40,70000,2,8332
Quad,1,50,70000,2,10790
Quad,1,60,70000,2,13352
Quad,1,70,70000,2,16003
Quad,1,80,70000,2,18881
Quad,1,90,70000,2,21845
Quad,1,100,70000,2,24950
Quad,1,10,80000,2,1969
Quad,1,20,80000,2,4125
Quad,1,30,80000,2,6408
Quad,1,40,80000,2,8860
Quad,1,50,80000,2,11403
Quad,1,60,80000,2,14053
Quad,1,70,80000,2,16819
Quad,1,80,80000,2,19755
Quad,1,90,80000,2,22825
Quad,1,100,80000,2,25921
Quad,1,10,90000,2,2139
Quad,1,20,90000,2,4455
Quad,1,30,90000,2,6905
Quad,1,40,90000,2,9528
Quad,1,50,90000,2,12267
Quad,1,60,90000,2,15090
Quad,1,70,90000,2,18033
Quad,1,80,90000,2,21133
Quad,1,90,90000,2,24281
Quad,1,100,90000,2,27542
Quad,1,10,100000,2,2274
Quad,1,20,100000,2,4697
Quad,1,30,100000,2,7223
Quad,1,40,100000,2,9852
Quad,1,50,100000,2,12565
Quad,1,60,100000,2,15360
Quad,1,70,100000,2,18223
Quad,1,80,100000,2,21188
Quad,1,90,100000,2,24281
Quad,1,100,100000,2,27436
Quad,1,10,110000,2,2707
Quad,1,20,110000,2,5685
Quad,1,30,110000,2,8858
Quad,1,40,110000,2,12215
Quad,1,50,110000,2,15689
Quad,1,60,110000,2,19326
Quad,1,70,110000,2,23158
Quad,1,80,110000,2,27347
Quad,1,90,110000,2,31693
Quad,1,100,110000,2,36198
Quad,1,10,120000,2,3123
Quad,1,20,120000,2,6359
Quad,1,30,120000,2,9536
Quad,1,40,120000,2,12834
Quad,1,50,120000,2,16225
Quad,1,60,120000,2,19581
Quad,1,70,120000,2,23244
Quad,1,80,120000,2,26951
Quad,1,90,120000,2,30797
Quad,1,100,120000,2,34795
Quad,1,10,130000,2,3014
Quad,1,20,130000,2,6205
Quad,1,30,130000,2,9495
Quad,1,40,130000,2,12949
Quad,1,50,130000,2,16538
Quad,1,60,130000,2,19947
Quad,1,70,130000,2,23456
Quad,1,80,130000,2,27201
Quad,1,90,130000,2,30999
Quad,1,100,130000,2,34911
Quad,1,10,140000,2,3236
Quad,1,20,140000,2,6692
Quad,1,30,140000,2,10498
Quad,1,40,140000,2,14446
Quad,1,50,140000,2,18476
Quad,1,60,140000,2,22697
Quad,1,70,140000,2,27125
Quad,1,80,140000,2,31713
Quad,1,90,140000,2,36333
Quad,1,100,140000,2,41095
Quad,1,10,150000,2,3419
Quad,1,20,150000,2,7028
Quad,1,30,150000,2,11046
Quad,1,40,150000,2,15192
Quad,1,50,150000,2,19532
Quad,1,60,150000,2,24166
Quad,1,70,150000,2,28772
Quad,1,80,150000,2,33455
Quad,1,90,150000,2,38299
Quad,1,100,150000,2,43089
Quad,1,10,160000,2,3958
Quad,1,20,160000,2,8165
Quad,1,30,160000,2,12512
Quad,1,40,160000,2,16929
Quad,1,50,160000,2,21627
Quad,1,60,160000,2,26594
Quad,1,70,160000,2,31679
Quad,1,80,160000,2,36985
Quad,1,90,160000,2,42406
Quad,1,100,160000,2,48038
Quad,1,10,170000,2,3915
Quad,1,20,170000,2,8053
Quad,1,30,170000,2,12267
Quad,1,40,170000,2,16651
Quad,1,50,170000,2,21327
Quad,1,60,170000,2,26082
Quad,1,70,170000,2,30803
Quad,1,80,170000,2,35797
Quad,1,90,170000,2,40938
Quad,1,100,170000,2,45931
Quad,1,10,180000,2,4549
Quad,1,20,180000,2,9171
Quad,1,30,180000,2,13753
Quad,1,40,180000,2,18612
Quad,1,50,180000,2,23417
Quad,1,60,180000,2,28357
Quad,1,70,180000,2,33549
Quad,1,80,180000,2,38989
Quad,1,90,180000,2,44375
Quad,1,100,180000,2,49903
Quad,1,10,190000,2,4436
Quad,1,20,190000,2,9065
Quad,1,30,190000,2,13970
Quad,1,40,190000,2,19135
Quad,1,50,190000,2,24415
Quad,1,60,190000,2,29957
Quad,1,70,190000,2,35618
Quad,1,80,190000,2,41713
Quad,1,90,190000,2,47737
Quad,1,100,190000,2,54009
Quad,1,10,200000,2,4572
Quad,1,20,200000,2,9471
Quad,1,30,200000,2,14653
Quad,1,40,200000,2,19975
Quad,1,50,200000,2,25444
Quad,1,60,200000,2,31035
Quad,1,70,200000,2,36733
Quad,1,80,200000,2,42659
Quad,1,90,200000,2,48705
Quad,1,100,200000,2,54840
